행정구역,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~9세,2022년10월_남_10~19세,2022년10월_남_20~29세,2022년10월_남_30~39세,2022년10월_남_40~49세,2022년10월_남_50~59세,2022년10월_남_60~69세,2022년10월_남_70~79세,2022년10월_남_80~89세,2022년10월_남_90~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~9세,2022년10월_여_10~19세,2022년10월_여_20~29세,2022년10월_여_30~39세,2022년10월_여_40~49세,2022년10월_여_50~59세,2022년10월_여_60~69세,2022년10월_여_70~79세,2022년10월_여_80~89세,2022년10월_여_90~99세,2022년10월_여_100세 이상
경기도 이천시 백사면(4150032000),5864 ,5864 ,368 ,468 ,710 ,629 ,847 ,1092 ,1036 ,448 ,241 ,24 ,1 ,5613 ,5613 ,315 ,409 ,551 ,624 ,745 ,1088 ,950 ,524 ,337 ,68 ,2 
경기도 이천시 호법면(4150033000),3596 ,3596 ,145 ,531 ,446 ,409 ,405 ,628 ,616 ,282 ,120 ,14 ,0 ,2955 ,2955 ,128 ,353 ,322 ,278 ,294 ,448 ,559 ,313 ,219 ,41 ,0 
경기도 이천시 마장면(4150034000),8955 ,8955 ,847 ,986 ,1419 ,1628 ,1342 ,1140 ,956 ,441 ,176 ,19 ,1 ,7534 ,7534 ,756 ,1026 ,944 ,1234 ,958 ,944 ,852 ,468 ,294 ,57 ,1 
경기도 이천시 대월면(4150035000),7381 ,7381 ,504 ,582 ,1302 ,1311 ,1209 ,1036 ,845 ,415 ,163 ,14 ,0 ,7060 ,7060 ,489 ,556 ,1331 ,1125 ,960 ,942 ,841 ,440 ,319 ,55 ,2 
경기도 이천시 모가면(4150036000),2306 ,2306 ,54 ,139 ,218 ,197 ,273 ,438 ,553 ,277 ,148 ,9 ,0 ,1994 ,1994 ,49 ,88 ,137 ,123 ,193 ,353 ,472 ,295 ,247 ,37 ,0 
경기도 이천시 설성면(4150037000),2483 ,2483 ,69 ,103 ,233 ,211 ,282 ,453 ,614 ,334 ,169 ,15 ,0 ,2161 ,2161 ,72 ,102 ,142 ,134 ,176 ,333 ,518 ,347 ,289 ,46 ,2 
경기도 이천시 율면(4150038000),1360 ,1360 ,26 ,58 ,103 ,96 ,126 ,217 ,400 ,184 ,136 ,14 ,0 ,1261 ,1261 ,24 ,50 ,64 ,54 ,74 ,197 ,335 ,216 ,201 ,44 ,2 
경기도 이천시 창전동(4150051000),8456 ,8456 ,415 ,711 ,1466 ,1287 ,1219 ,1349 ,1206 ,589 ,191 ,23 ,0 ,8257 ,8257 ,394 ,683 ,1219 ,890 ,1169 ,1439 ,1407 ,655 ,355 ,45 ,1 
경기도 이천시 증포동(4150051500),28531 ,28531 ,3204 ,4239 ,3890 ,3978 ,5369 ,4436 ,2437 ,689 ,265 ,24 ,0 ,28687 ,28687 ,3049 ,3940 ,3402 ,4403 ,5653 ,4364 ,2320 ,925 ,543 ,85 ,3 
경기도 이천시 중리동(4150052000),8675 ,8675 ,455 ,461 ,2129 ,1679 ,1034 ,1153 ,1081 ,471 ,193 ,17 ,2 ,6400 ,6400 ,427 ,396 ,948 ,874 ,824 ,1078 ,1030 ,506 ,273 ,43 ,1 
경기도 이천시 관고동(4150053000),5163 ,5163 ,272 ,346 ,740 ,756 ,732 ,951 ,894 ,338 ,127 ,7 ,0 ,4813 ,4813 ,254 ,369 ,651 ,530 ,652 ,904 ,807 ,398 ,221 ,24 ,3 
경기도 안성시 (4155000000),97870 ,97870 ,6415 ,9217 ,12601 ,12189 ,16014 ,17014 ,14392 ,6802 ,2960 ,260 ,6 ,91605 ,91605 ,5915 ,8657 ,10219 ,9911 ,13900 ,15128 ,13964 ,7680 ,5270 ,928 ,33 
경기도 안성시 공도읍(4155025000),30256 ,30256 ,2628 ,3845 ,3698 ,4167 ,6019 ,4996 ,2939 ,1390 ,527 ,44 ,3 ,29710 ,29710 ,2448 ,3660 ,3253 ,3775 ,5800 ,4602 ,3252 ,1742 ,1013 ,160 ,5 
경기도 안성시 보개면(4155031000),2769 ,2769 ,90 ,160 ,263 ,223 ,320 ,518 ,683 ,333 ,166 ,13 ,0 ,2448 ,2448 ,73 ,108 ,164 ,172 ,216 ,425 ,568 ,358 ,296 ,67 ,1 
경기도 안성시 금광면(4155032000),3640 ,3640 ,168 ,300 ,392 ,309 ,487 ,724 ,749 ,328 ,168 ,15 ,0 ,3680 ,3680 ,151 ,296 ,317 ,264 ,465 ,624 ,764 ,431 ,304 ,62 ,2 
